,Nombre,Fecha publicación,Autores,Categorías,Mecánicas,Puntuación,Jugadores,Jugadores mínimos,Jugadores máximos,Duración,Duración mínima,Duración máxima,Edad,Complejidad,Dep idioma,Edición juegos,Juegos relacionados
https://www.ludonauta.es/juegos-mesas/terraforming-mars-preludio-2018,Terraforming Mars: Preludio,2018,['Jacob Fryxelius'],"['Ciencia ficción', 'Economía', 'Educativo', 'Industrial', 'Medioambiental']","['Colocación de losetas', 'Draft de cartas', 'Gestión de mano']","8,43",1-5,1.0,5.0,90-120,90.0,120.0,12.0,2.0,3.0,Expansión de,['Terraforming Mars']
https://www.ludonauta.es/juegos-mesas/pandemic-legacy-temporada-1-2015,Pandemic Legacy: Temporada 1,2015,"['Matt Leacock', 'Rob Daviau']","['Médico', 'Medioambiental']","['Colección de ítems', 'Comercio', 'Cooperativo', 'Escenarios, misiones o campañas', 'Etiquetas', 'Gestión de mano', 'Habilidades variables', 'Legacy', 'Movimiento entre puntos', 'Puntos de acción']","8,19",2-4,2.0,4.0,60,60.0,60.0,13.0,3.0,4.0,Reimplementación de,['Pandemic']
https://www.ludonauta.es/juegos-mesas/root-expansion-los-subterraneos-2020,Root: Expansión Los Subterráneos,2020,"['Cole Wehrle', 'Patrick Leder']","['Animales', 'Fantasía', 'Wargame']","['Control de áreas / Mayorías', 'Gestión de mano', 'Lanzamiento de dados', 'Movimiento entre puntos', 'Programación de acciones', 'Rey de la colina']","8,15",2-6,2.0,6.0,60-90,60.0,90.0,10.0,,4.0,Expansión de,['Root']
https://www.ludonauta.es/juegos-mesas/spirit-island-jagged-earth-2020,Spirit Island: Jagged Earth,2020,['R. Eric Reuss'],"['Combate', 'Dominio territorial', 'Edad de la razón', 'Fantasía', 'Medioambiental', 'Mitología']","['Colección de ítems', 'Control de áreas / Mayorías', 'Cooperativo', 'Gestión de mano', 'Habilidades variables', 'Selección simultánea de acciones', 'Tablero modular']","8,06",1-6,1.0,6.0,90-120,90.0,120.0,13.0,5.0,4.0,Expansión de,['Spirit Island']
https://www.ludonauta.es/juegos-mesas/brass-birmingham-2018,Brass: Birmingham,2018,"['Gavan Brown', 'Martin Wallace', 'Matt Tolman']","['Economía', 'Industrial', 'Post-napoleónico', 'Transporte', 'Trenes']","['Árboles/tracks de tecnología', 'Conexiones', 'Configuración variable', 'Etiquetas', 'Gestión de mano', 'Ingresos', 'Mercado', 'Orden de turno basado en estadísticas', 'Préstamos', 'Puntuación y reinicio de partida', 'Unión de puntos de un mapa']","8,04",2-4,2.0,4.0,60-120,60.0,120.0,14.0,4.0,1.0,Reimplementación de,['Brass: Lancashire']
https://www.ludonauta.es/juegos-mesas/clank-legacy-acquisitions-incorporated-2019,Clank! Legacy: Acquisitions Incorporated,2019,"['Andy Clautice', 'Paul Dennen']","['Aventuras', 'Fantasía', 'Miniaturas']","['Bonus de fin de partida', 'Colección de ítems', 'Compra retardada', 'Configuración variable', 'Creación de mazo, bolsa o conjunto', 'Descubrimiento de mapa por exploración', 'Draft de cartas', 'Elección narrativa / párrafo', 'Eliminación de jugadores', 'Escenarios, misiones o campañas', 'Eventos', 'Forzar la suerte', 'Habilidades de un solo uso por partida', 'Habilidades variables', 'Legacy', 'Movimiento entre puntos', 'Puntos de movimiento', 'Recogida y entrega']","8,01",2-4,2.0,4.0,90-120,90.0,120.0,13.0,3.0,4.0,Reimplementación de,['Clank!']
https://www.ludonauta.es/juegos-mesas/gloomhaven-2017,Gloomhaven,2017,['Isaac Childres'],"['Aventuras', 'Combate', 'Economía', 'Exploración', 'Fantasía', 'Miniaturas']","['Batallas dirigidas por cartas', 'Cartas multiuso', 'Construcción de mazo', 'Cooperativo', 'Creación de mazo, bolsa o conjunto', 'Escenarios, misiones o campañas', 'Etiquetas', 'Gestión de mano', 'Golpes y fallos críticos', 'Habilidades de un solo uso por partida', 'Habilidades variables', 'Legacy', 'Límites en la comunicación', 'Línea de visión', 'Movimiento en casillas hexagonales', 'Movimiento por celdas', 'Narrativo', 'Programación de acciones', 'Recuperación de acciones', 'Resolución de conflictos mediante cartas', 'Roles', 'Selección simultánea de acciones', 'Solitario', 'Tablero modular']","8,01",1-4,1.0,4.0,60-120,60.0,120.0,14.0,4.0,4.0,Integración de,"['Gloomhaven: Fauces del León', 'Frosthaven']"
https://www.ludonauta.es/juegos-mesas/dune-imperium-el-auge-de-ix-2021,Dune: Imperium – El auge de Ix,2022,['Paul Dennen'],"['Basado en novela', 'Ciencia ficción', 'Cine / Televisión / Radio', 'Político']","['Carrera', 'Colocación de trabajadores', 'Creación de mazo, bolsa o conjunto', 'Draft de cartas', 'Habilidades variables', 'Orden de turno progresivo', 'Resolución de conflictos mediante cartas']","8,00",1-4,1.0,4.0,60-120,60.0,120.0,13.0,3.0,3.0,Expansión de,"['Dune: Imperium', 'Dune: Imperium – Uprising']"
https://www.ludonauta.es/juegos-mesas/dune-imperium-2020,Dune: Imperium,2020,['Paul Dennen'],"['Basado en novela', 'Ciencia ficción', 'Cine / Televisión / Radio', 'Político']","['Aumento del valor de los recursos no elegidos', 'Cartas multiuso', 'Colocación de trabajadores', 'Compra retardada', 'Compromiso de fuerza', 'Creación de mazo, bolsa o conjunto', 'Draft de cartas', 'Etiquetas', 'Habilidades variables', 'Orden de turno progresivo', 'Resolución de conflictos mediante cartas', 'Solitario', 'Toma eso']","7,99",1-4,1.0,4.0,60-120,60.0,120.0,14.0,3.0,3.0,Integración de,['Dune: Imperium – Uprising']
https://www.ludonauta.es/juegos-mesas/ark-nova-2021,Ark Nova,2021,['Mathias Wigge'],"['Animales', 'Economía', 'Medioambiental']","['Aumento del valor de los recursos no elegidos', 'Bonus de fin de partida', 'Colección de ítems', 'Colocación de losetas', 'Configuración variable', 'Draft de cartas', 'Etiquetas', 'Gestión de mano', 'Habilidades variables', 'Ingresos', 'Movimiento en casillas hexagonales', 'Solitario']","7,97",1-4,1.0,4.0,90-150,90.0,150.0,14.0,4.0,4.0,Juego de mesa base,
